mes,dias_al_mes,anio,fecha,Qingresa_m3ps
2,28,1964,2/28/1964,18.90
3,31,1964,3/31/1964,57.60
4,30,1964,4/30/1964,25.00
5,31,1964,5/31/1964,19.60
6,30,1964,6/30/1964,14.30
7,31,1964,7/31/1964,7.70
8,31,1964,8/31/1964,1.10
9,30,1964,9/30/1964,9.40
10,31,1964,10/31/1964,102.10
11,30,1964,11/30/1964,67.10
12,31,1964,12/31/1964,108.30
1,31,1965,1/31/1965,59.60
2,28,1965,2/28/1965,16.80
3,31,1965,3/31/1965,12.80
4,30,1965,4/30/1965,13.50
5,31,1965,5/31/1965,4.10
6,30,1965,6/30/1965,10.60
7,31,1965,7/31/1965,8.10
8,31,1965,8/31/1965,7.80
9,30,1965,9/30/1965,10.40
10,31,1965,10/31/1965,12.10
11,30,1965,11/30/1965,14.90
12,31,1965,12/31/1965,37.60
1,31,1966,1/31/1966,64.90
2,28,1966,2/28/1966,47.80
3,31,1966,3/31/1966,23.30
4,30,1966,4/30/1966,56.90
5,31,1966,5/31/1966,19.00
6,30,1966,6/30/1966,9.70
7,31,1966,7/31/1966,8.40
8,31,1966,8/31/1966,4.50
9,30,1966,9/30/1966,4.60
10,31,1966,10/31/1966,5.50
11,30,1966,11/30/1966,32.90
12,31,1966,12/31/1966,24.20
1,31,1967,1/31/1967,27.90
2,28,1967,2/28/1967,31.60
3,31,1967,3/31/1967,28.30
4,30,1967,4/30/1967,34.10
5,31,1967,5/31/1967,10.00
6,30,1967,6/30/1967,6.80
7,31,1967,7/31/1967,4.50
8,31,1967,8/31/1967,3.60
9,30,1967,9/30/1967,13.50
10,31,1967,10/31/1967,36.20
11,30,1967,11/30/1967,65.20
12,31,1967,12/31/1967,24.20
1,31,1968,1/31/1968,26.70
2,28,1968,2/28/1968,35.60
3,31,1968,3/31/1968,35.80
4,30,1968,4/30/1968,15.70
5,31,1968,5/31/1968,6.70
6,30,1968,6/30/1968,13.60
7,31,1968,7/31/1968,6.80
8,31,1968,8/31/1968,8.30
9,30,1968,9/30/1968,3.70
10,31,1968,10/31/1968,2.90
11,30,1968,11/30/1968,13.10
12,31,1968,12/31/1968,21.20
1,31,1969,1/31/1969,29.35
2,28,1969,2/28/1969,12.90
3,31,1969,3/31/1969,22.10
4,30,1969,4/30/1969,8.20
5,31,1969,5/31/1969,7.60
6,30,1969,6/30/1969,7.30
7,31,1969,7/31/1969,4.00
8,31,1969,8/31/1969,7.70
9,30,1969,9/30/1969,7.70
10,31,1969,10/31/1969,5.30
11,30,1969,11/30/1969,7.80
12,31,1969,12/31/1969,39.60
1,31,1970,1/31/1970,60.80
2,28,1970,2/28/1970,35.90
3,31,1970,3/31/1970,46.50
4,30,1970,4/30/1970,9.00
5,31,1970,5/31/1970,5.50
6,30,1970,6/30/1970,2.60
7,31,1970,7/31/1970,3.60
8,31,1970,8/31/1970,4.10
9,30,1970,9/30/1970,7.70
10,31,1970,10/31/1970,3.90
11,30,1970,11/30/1970,9.10
12,31,1970,12/31/1970,13.10
1,31,1971,1/31/1971,65.40
2,28,1971,2/28/1971,29.70
3,31,1971,3/31/1971,33.70
4,30,1971,4/30/1971,23.20
5,31,1971,5/31/1971,5.90
6,30,1971,6/30/1971,5.20
7,31,1971,7/31/1971,4.50
8,31,1971,8/31/1971,3.30
9,30,1971,9/30/1971,3.20
10,31,1971,10/31/1971,5.90
11,30,1971,11/30/1971,2.10
12,31,1971,12/31/1971,9.30
1,31,1972,1/31/1972,15.80
2,28,1972,2/28/1972,35.60
3,31,1972,3/31/1972,29.20
4,30,1972,4/30/1972,15.70
5,31,1972,5/31/1972,9.30
6,30,1972,6/30/1972,5.00
7,31,1972,7/31/1972,3.20
8,31,1972,8/31/1972,3.50
9,30,1972,9/30/1972,10.70
10,31,1972,10/31/1972,6.40
11,30,1972,11/30/1972,44.30
12,31,1972,12/31/1972,71.90
1,31,1973,1/31/1973,54.40
2,28,1973,2/28/1973,21.70
3,31,1973,3/31/1973,121.40
4,30,1973,4/30/1973,55.40
5,31,1973,5/31/1973,20.70
6,30,1973,6/30/1973,16.20
7,31,1973,7/31/1973,10.70
8,31,1973,8/31/1973,6.50
9,30,1973,9/30/1973,5.70
10,31,1973,10/31/1973,5.10
11,30,1973,11/30/1973,11.10
12,31,1973,12/31/1973,31.20
1,31,1974,1/31/1974,20.70
2,28,1974,2/28/1974,43.60
3,31,1974,3/31/1974,37.30
4,30,1974,4/30/1974,13.00
5,31,1974,5/31/1974,11.20
6,30,1974,6/30/1974,11.00
7,31,1974,7/31/1974,7.10
8,31,1974,8/31/1974,6.50
9,30,1974,9/30/1974,5.40
10,31,1974,10/31/1974,27.20
11,30,1974,11/30/1974,11.80
12,31,1974,12/31/1974,46.40
1,31,1975,1/31/1975,46.30
2,28,1975,2/28/1975,65.20
3,31,1975,3/31/1975,90.00
4,30,1975,4/30/1975,23.40
5,31,1975,5/31/1975,12.40
6,30,1975,6/30/1975,7.70
7,31,1975,7/31/1975,6.30
8,31,1975,8/31/1975,11.50
9,30,1975,9/30/1975,9.70
10,31,1975,10/31/1975,6.70
11,30,1975,11/30/1975,21.50
12,31,1975,12/31/1975,9.40
1,31,1976,1/31/1976,8.50
2,28,1976,2/28/1976,47.90
3,31,1976,3/31/1976,20.30
4,30,1976,4/30/1976,10.60
5,31,1976,5/31/1976,6.70
6,30,1976,6/30/1976,6.10
7,31,1976,7/31/1976,3.40
8,31,1976,8/31/1976,8.20
9,30,1976,9/30/1976,8.10
10,31,1976,10/31/1976,18.00
11,30,1976,11/30/1976,64.30
12,31,1976,12/31/1976,51.80
1,31,1977,1/31/1977,53.70
2,28,1977,2/28/1977,81.60
3,31,1977,3/31/1977,18.80
4,30,1977,4/30/1977,26.80
5,31,1977,5/31/1977,13.10
6,30,1977,6/30/1977,7.60
7,31,1977,7/31/1977,6.10
8,31,1977,8/31/1977,5.90
9,30,1977,9/30/1977,17.00
10,31,1977,10/31/1977,13.30
11,30,1977,11/30/1977,22.40
12,31,1977,12/31/1977,59.30
1,31,1978,1/31/1978,126.19
2,28,1978,2/28/1978,81.51
3,31,1978,3/31/1978,76.30
