,Codigo,dia,mes,anio,Temperatura_[Celsius]_x,HumedadRel_[porc],Presion_[hPa],DireccionViento_[grad],VelocidadViento_[KpH]_x,RadiacionSolar_[WpM2],Lluvia_[mm],RafagaViento_[KpH],SenialGPRS_[ASU],NivelBateria_[V]
2018-10-22 04:30:00,30234,22,10.0,2018.0,14.703333333333333,98.84333333333332,938.5416666666666,120.0,1.783685666666667,0.0,0.0,3.453372333333333,6.0,12.690800000000001
2018-10-22 05:00:00,30234,22,10.0,2018.0,14.72,99.01666666666665,937.5,112.5,0.1072896,0.0,0.0,0.5230343333333333,6.0,12.6766
2018-10-22 05:30:00,30234,22,10.0,2018.0,14.726666666666668,99.07,937.9166666666666,105.0,0.643736,0.0,0.0,2.5481200000000004,6.0,12.6766
2018-10-22 06:00:00,30234,22,10.0,2018.0,14.673333333333334,98.94666666666667,937.5,97.5,0.9857233333333334,0.0,0.0,1.7903933333333333,6.0,12.662466666666667
2018-10-22 06:30:00,30234,22,10.0,2018.0,14.62,98.69333333333333,937.9166666666666,142.5,0.9588979999999999,0.0,0.2,3.2589166666666665,6.0,12.6554
2018-10-22 07:00:00,30234,22,10.0,2018.0,14.616666666666667,99.31,938.125,157.5,1.0259534333333333,0.0,0.6000000000000001,2.4073033333333336,6.0,12.6483
2018-10-22 07:30:00,30234,22,10.0,2018.0,14.693333333333333,99.40666666666665,938.75,150.0,1.0192496666666668,0.0,0.0,2.105552,6.0,12.655366666666666
2018-10-22 08:00:00,30234,22,10.0,2018.0,14.606666666666667,99.0,937.9166666666666,120.0,3.433256666666667,0.0,1.4,8.01317,4.666666666666667,12.6554
2018-10-22 08:30:00,30234,22,10.0,2018.0,14.523333333333333,99.52000000000002,938.5416666666666,120.0,2.7090566666666667,34.722,2.6,5.6461,1.3333333333333333,12.690800000000001
2018-10-22 09:00:00,30234,22,10.0,2018.0,14.65,99.71666666666665,938.125,127.5,3.386316666666667,88.734,0.6000000000000001,7.972940000000001,0.6666666666666666,12.8326
2018-10-22 09:30:00,30234,22,10.0,2018.0,14.899999999999999,98.55999999999999,937.7083333333334,157.5,2.3134266666666665,55.941,0.0,5.73327,1.0,12.790066666666666
2018-10-22 10:00:00,30234,22,10.0,2018.0,14.933333333333332,98.19666666666666,938.75,172.5,3.74842,53.369,0.0,6.926866666666666,1.6666666666666667,12.754600000000002
2018-10-22 10:30:00,30234,22,10.0,2018.0,14.796666666666667,98.80999999999999,938.125,165.0,4.586620000000001,54.012,0.2,10.695419999999999,0.6666666666666666,12.754633333333333
2018-10-22 11:00:00,30234,22,10.0,2018.0,14.613333333333335,98.70666666666666,939.5833333333334,165.0,3.97641,43.72400000000001,0.2,11.124543333333333,0.6666666666666666,12.712100000000001
2018-10-22 11:30:00,30234,22,10.0,2018.0,14.483333333333334,98.66000000000001,938.75,165.0,4.237926666666667,60.44200000000001,0.4,7.885766666666666,1.3333333333333333,12.775866666666666
2018-10-22 12:00:00,30234,22,10.0,2018.0,14.6,99.30333333333333,937.9166666666666,135.0,3.6143099999999997,70.73,0.4,9.468286666666666,1.0,12.8397
2018-10-22 12:30:00,30234,22,10.0,2018.0,14.596666666666666,98.86000000000001,938.9583333333334,150.0,4.023350000000001,108.66699999999999,0.4,9.260423333333334,0.6666666666666666,12.9886
2018-10-22 13:00:00,30234,22,10.0,2018.0,14.71,98.54333333333334,939.1666666666666,165.0,4.740846666666667,135.02999999999997,0.2,12.640033333333333,0.6666666666666666,13.151633333333335
2018-10-22 13:30:00,30234,22,10.0,2018.0,14.653333333333334,98.34666666666668,938.75,135.0,4.351923333333333,96.45,0.2,9.944376666666669,0.3333333333333333,13.073633333333333
